"","code_insee","code_pat"
"5","01006","3"
"8","01009","3"
"14","01015","3"
"17","01019","3"
"19","01022","3"
"21","01024","1"
"26","01029","1"
"31","01034","3"
"33","01036","3"
"35","01038","1"
"36","01040","1"
"39","01043","4"
"48","01053","1"
"50","01056","2"
"52","01058","3"
"54","01061","3"
"58","01065","1"
"59","01066","3"
"61","01068","2"
"62","01069","1"
"64","01072","1"
"65","01073","3"
"69","01077","2"
"71","01079","3"
"85","01095","1"
"87","01098","3"
"89","01100","3"
"95","01106","1"
"97","01108","1"
"99","01110","3"
"104","01115","1"
"105","01116","3"
"106","01117","3"
"110","01124","1"
"111","01125","1"
"112","01127","1"
"113","01128","1"
"115","01130","1"
"116","01133","3"
"120","01138","3"
"121","01139","1"
"122","01140","1"
"123","01141","3"
"126","01145","1"
"128","01147","1"
"131","01150","1"
"132","01151","1"
"141","01162","3"
"142","01163","1"
"152","01177","1"
"157","01184","1"
"159","01187","3"
"165","01193","3"
"167","01195","1"
"168","01196","1"
"169","01197","1"
"171","01199","2"
"172","01200","2"
"178","01208","3"
"181","01211","1"
"182","01212","1"
"190","01227","3"
"192","01229","1"
"193","01230","1"
"195","01232","1"
"197","01234","3"
"199","01236","1"
"202","01239","3"
"204","01241","1"
"205","01242","2"
"208","01245","1"
"212","01249","4"
"215","01254","1"
"219","01259","1"
"224","01264","1"
"226","01266","1"
"228","01268","3"
"231","01273","2"
"233","01275","4"
"243","01286","3"
"245","01289","1"
"249","01294","3"
"251","01296","1"
"255","01301","1"
"256","01302","3"
"257","01303","2"
"258","01304","2"
"263","01309","1"
"264","01310","3"
"267","01314","2"
"268","01317","1"
"272","01321","1"
"277","01329","3"
"278","01331","2"
"283","01336","1"
"285","01338","3"
"289","01344","1"
"291","01346","1"
"295","01350","1"
"303","01358","3"
"308","01363","2"
"309","01364","1"
"312","01367","1"
"314","01369","1"
"317","01372","3"
"319","01374","1"
"320","01375","1"
"321","01376","4"
"324","01380","1"
"329","01385","1"
"331","01387","1"
"332","01388","1"
"335","01391","1"
"346","01404","2"
"347","01405","1"
"348","01406","1"
"350","01408","1"
"354","01415","3"
"356","01418","4"
"360","01422","1"
"362","01424","4"
"363","01425","1"
"364","01426","1"
"367","01429","1"
"368","01430","2"
"370","01432","1"
"371","01433","1"
"380","01445","1"
"382","01447","1"
"386","01451","1"
"387","01452","3"
"388","01453","3"
"389","01454","3"
"390","01456","3"
"1189","03001","5"
"1190","03002","6"
"1192","03004","8"
"1194","03006","5"
"1195","03007","9"
"1196","03008","5"
"1200","03012","6"
"1202","03014","10"
"1204","03016","7"
"1205","03017","8"
"1206","03018","7"
"1207","03019","10"
"1209","03021","7"
"1210","03022","7"
"1211","03023","5"
"1212","03024","8"
"1216","03028","8"
"1217","03029","5"
"1218","03030","7"
"1221","03033","5"
"1222","03034","10"
"1223","03035","10"
"1224","03036","6"
"1226","03038","7"
"1230","03042","8"
"1231","03043","7"
"1232","03044","5"
"1233","03045","5"
"1234","03046","6"
"1237","03049","7"
"1238","03050","5"
"1241","03053","7"
"1244","03056","5"
"1247","03059","7"
"1248","03060","5"
"1249","03061","7"
"1250","03062","7"
"1253","03065","6"
"1254","03066","5"
"1255","03067","10"
"1256","03068","5"
"1257","03069","6"
"1259","03071","10"
"1263","03075","7"
"1265","03077","7"
"1266","03078","7"
"1267","03079","10"
"1268","03080","5"
"1271","03083","7"
"1277","03089","7"
"1279","03091","10"
"1280","03092","6"
"1281","03093","5"
"1282","03094","5"
"1283","03095","5"
"1284","03096","7"
"1286","03098","9"
"1287","03099","6"
"1288","03100","10"
"1289","03101","9"
"1290","03102","10"
"1291","03103","10"
"1293","03105","8"
"1295","03107","7"
"1296","03108","7"
"1297","03109","7"
"1298","03110","5"
"1300","03112","7"
"1301","03113","5"
"1302","03114","7"
"1303","03115","7"
"1304","03116","7"
"1305","03117","6"
"1306","03118","7"
"1310","03122","6"
"1312","03125","5"
"1313","03126","5"
"1318","03131","8"
"1319","03132","10"
"1320","03133","7"
"1321","03134","7"
"1322","03135","7"
"1323","03136","9"
"1324","03137","10"
"1325","03138","8"
"1326","03139","5"
"1327","03140","9"
"1328","03141","5"
"1329","03142","10"
"1331","03144","10"
"1332","03145","9"
"1334","03147","10"
"1335","03148","7"
"1336","03149","7"
"1337","03150","6"
"1339","03152","7"
"1340","03154","10"
"1343","03157","5"
"1346","03160","7"
"1347","03161","9"
"1349","03163","5"
"1350","03164","7"
"1351","03165","5"
"1352","03166","7"
"1353","03167","9"
"1355","03169","6"
"1356","03170","6"
"1357","03171","10"
"1360","03174","5"
"1361","03175","7"
"1362","03176","7"
"1363","03177","10"
"1364","03178","10"
"1365","03179","10"
"1367","03181","10"
"1368","03182","7"
"1369","03183","6"
"1371","03185","9"
"1373","03187","10"
"1374","03188","7"
"1378","03192","7"
"1380","03194","7"
"1382","03196","10"
"1386","03201","5"
"1387","03202","6"
"1389","03204","7"
"1390","03205","8"
"1391","03206","9"
"1392","03207","10"
"1393","03208","10"
"1394","03209","7"
"1396","03211","9"
"1397","03212","9"
"1399","03214","6"
"1400","03215","10"
"1401","03216","9"
"1403","03218","6"
"1405","03220","7"
"1408","03223","8"
"1409","03224","5"
"1411","03226","10"
"1412","03227","7"
"1415","03230","8"
"1416","03231","9"
"1417","03232","10"
"1418","03233","9"
"1419","03234","10"
"1420","03235","10"
"1421","03236","5"
"1422","03237","7"
"1423","03238","6"
"1424","03239","10"
"1425","03240","10"
"1427","03242","7"
"1429","03244","9"
"1432","03247","6"
"1433","03248","5"
"1435","03250","8"
"1436","03251","6"
"1437","03252","5"
"1438","03253","10"
"1439","03254","7"
"1440","03255","7"
"1442","03257","8"
"1443","03258","5"
"1445","03260","6"
"1446","03261","9"
"1447","03262","9"
"1448","03263","10"
"1449","03264","5"
"1450","03265","10"
"1451","03266","10"
"1452","03267","7"
"1453","03268","7"
"1456","03271","5"
"1457","03272","8"
"1458","03273","5"
"1459","03274","10"
"1461","03276","7"
"1462","03277","7"
"1463","03278","7"
"1464","03279","9"
"1465","03280","9"
"1466","03281","7"
"1469","03284","10"
"1472","03287","6"
"1474","03289","10"
"1476","03291","10"
"1477","03292","6"
"1479","03294","7"
"1480","03295","7"
"1483","03298","10"
"1484","03299","10"
"1485","03300","10"
"1487","03302","7"
"1489","03304","5"
"1491","03306","5"
"1492","03307","7"
"1495","03310","5"
"1496","03311","7"
"1497","03312","6"
"1499","03314","9"
"1504","03320","6"
"2030","07002","13"
"2031","07003","13"
"2032","07004","14"
"2033","07005","15"
"2035","07007","12"
"2036","07008","14"
"2038","07010","17"
"2039","07011","13"
"2041","07013","17"
"2042","07014","12"
"2044","07017","11"
"2046","07019","13"
"2047","07020","15"
"2048","07022","15"
"2049","07023","11"
"2050","07024","11"
"2051","07025","16"
"2053","07027","14"
"2054","07028","11"
"2055","07029","11"
"2056","07030","14"
"2057","07031","11"
"2059","07033","11"
"2061","07035","12"
"2062","07036","17"
"2065","07039","12"
"2066","07040","12"
"2067","07041","17"
"2069","07044","17"
"2070","07045","16"
"2072","07048","14"
"2074","07050","11"
"2076","07052","12"
"2077","07053","11"
"2079","07055","12"
"2080","07056","17"
"2081","07058","13"
"2082","07059","12"
"2083","07060","14"
"2084","07061","11"
"2085","07062","13"
"2086","07063","12"
"2088","07065","16"
"2089","07066","14"
"2090","07067","17"
"2091","07068","12"
"2092","07069","12"
"2093","07070","12"
"2095","07072","14"
"2097","07074","14"
"2099","07076","15"
"2101","07078","17"
"2104","07081","11"
"2106","07083","14"
"2109","07086","12"
"2110","07087","16"
"2111","07088","11"
"2112","07089","17"
"2113","07090","14"
"2114","07091","13"
"2115","07092","14"
"2116","07093","13"
"2117","07094","14"
"2119","07096","14"
"2120","07097","12"
"2121","07098","14"
"2123","07100","11"
"2124","07101","11"
"2125","07102","12"
"2130","07107","16"
"2132","07109","13"
"2133","07110","11"
"2134","07111","13"
"2135","07112","13"
"2136","07113","11"
"2138","07115","11"
"2139","07116","13"
"2140","07117","11"
"2141","07118","11"
"2145","07122","13"
"2148","07126","11"
"2149","07127","16"
"2153","07131","11"
"2154","07132","13"
"2156","07134","13"
"2159","07138","13"
"2160","07139","13"
"2161","07140","12"
"2162","07141","13"
"2164","07143","17"
"2165","07144","11"
"2167","07146","14"
"2168","07147","11"
"2169","07148","11"
"2170","07149","14"
"2173","07152","12"
"2174","07153","16"
"2176","07155","13"
"2177","07156","16"
"2178","07157","15"
"2179","07158","13"
"2181","07160","17"
"2182","07161","16"
"2183","07162","13"
"2184","07163","11"
"2187","07167","14"
"2188","07168","11"
"2190","07170","12"
"2191","07171","11"
"2192","07172","17"
"2193","07173","16"
"2196","07176","11"
"2197","07177","12"
"2198","07178","16"
"2199","07179","14"
"2200","07181","14"
"2201","07182","16"
"2202","07183","11"
"2203","07184","14"
"2205","07186","14"
"2206","07187","13"
"2207","07188","17"
"2208","07189","11"
"2209","07190","11"
"2210","07191","15"
"2212","07193","13"
"2213","07194","14"
"2215","07196","11"
"2216","07197","17"
"2217","07198","14"
"2218","07199","11"
"2220","07201","11"
"2221","07202","11"
"2226","07207","11"
"2229","07210","13"
"2230","07211","11"
"2232","07213","11"
"2233","07214","14"
"2236","07217","12"
"2238","07219","15"
"2240","07221","14"
"2242","07223","16"
"2244","07225","17"
"2246","07227","17"
"2247","07228","17"
"2248","07229","13"
"2249","07230","13"
"2250","07231","13"
"2252","07233","14"
"2255","07236","12"
"2256","07237","14"
"2257","07238","11"
"2259","07240","12"
"2262","07243","17"
"2263","07244","14"
"2264","07245","12"
"2269","07251","13"
"2270","07253","14"
"2271","07254","13"
"2272","07255","14"
"2273","07257","14"
"2274","07258","17"
"2276","07260","15"
"2277","07261","14"
"2281","07265","17"
"2282","07266","11"
"2286","07270","15"
"2287","07272","11"
"2289","07274","14"
"2290","07275","11"
"2292","07277","13"
"2293","07278","14"
"2295","07280","11"
"2296","07281","12"
"2297","07282","16"
"2298","07283","15"
"2299","07284","11"
"2303","07288","14"
"2304","07289","13"
"2306","07291","11"
"2308","07293","12"
"2310","07295","14"
"2311","07296","13"
"2312","07297","12"
"2313","07298","15"
"2315","07300","15"
"2316","07301","12"
"2317","07302","15"
"2318","07303","14"
"2319","07304","11"
"2320","07305","11"
"2321","07306","11"
"2322","07307","13"
"2325","07310","17"
"2327","07312","12"
"2328","07313","17"
"2329","07314","14"
"2330","07315","16"
"2331","07316","12"
"2332","07317","17"
"2333","07318","13"
"2334","07319","15"
"2335","07321","17"
"2336","07322","16"
"2337","07323","12"
"2338","07324","12"
"2339","07325","13"
"2341","07327","13"
"2342","07328","11"
"2343","07329","11"
"2344","07330","11"
"2345","07331","13"
"2346","07332","15"
"2347","07333","17"
"2348","07334","11"
"2349","07335","12"
"2350","07336","11"
"2351","07337","17"
"2352","07338","14"
"2353","07339","13"
"2354","07340","14"
"2356","07342","17"
"2357","07343","13"
"2358","07344","17"
"2359","07345","12"
"2361","07347","17"
"2362","07348","11"
"2363","07349","14"
"4930","15001","19"
"4931","15002","18"
"4933","15004","18"
"4934","15005","18"
"4936","15007","18"
"4941","15012","20"
"4942","15013","19"
"4943","15014","20"
"4945","15016","20"
"4951","15022","19"
"4953","15025","19"
"4954","15026","18"
"4956","15028","20"
"4960","15032","19"
"4961","15033","18"
"4962","15034","18"
"4968","15041","19"
"4969","15042","19"
"4970","15043","19"
"4971","15045","18"
"4974","15048","19"
"4977","15051","18"
"4979","15053","18"
"4981","15055","18"
"4982","15056","20"
"4985","15059","18"
"4986","15060","18"
"4987","15061","19"
"4990","15065","18"
"4993","15069","19"
"4996","15073","18"
"4997","15074","20"
"5000","15077","18"
"5001","15078","18"
"5003","15080","19"
"5006","15083","20"
"5008","15085","20"
"5009","15086","18"
"5011","15088","20"
"5014","15091","19"
"5018","15095","20"
"5019","15096","20"
"5020","15097","18"
"5021","15098","19"
"5022","15100","19"
"5023","15101","19"
"5024","15102","19"
"5027","15105","19"
"5028","15106","18"
"5029","15107","18"
"5030","15108","18"
"5033","15112","18"
"5034","15113","20"
"5035","15114","19"
"5038","15118","20"
"5039","15119","19"
"5041","15121","18"
"5045","15125","18"
"5046","15126","19"
"5047","15127","19"
"5050","15130","18"
"5052","15132","46"
"5057","15138","19"
"5058","15139","18"
"5059","15140","20"
"5060","15141","19"
"5061","15142","18"
"5066","15148","18"
"5067","15149","18"
"5068","15151","19"
"5069","15152","18"
"5072","15155","19"
"5075","15158","19"
"5077","15160","20"
"5078","15161","18"
"5081","15164","18"
"5085","15168","18"
"5094","15178","20"
"5103","15187","18"
"5104","15188","18"
"5111","15198","18"
"5112","15199","18"
"5114","15201","18"
"5116","15203","19"
"5117","15204","20"
"5120","15207","19"
"5122","15209","18"
"5125","15213","19"
"5127","15215","20"
"5128","15216","18"
"5133","15221","20"
"5137","15225","19"
"5140","15229","18"
"5142","15231","18"
"5143","15232","18"
"5144","15233","20"
"5146","15235","18"
"5148","15237","18"
"5151","15241","18"
"5154","15244","18"
"5155","15245","18"
"5157","15247","19"
"5158","15248","18"
"5161","15251","18"
"5162","15252","20"
"5163","15253","19"
"5165","15255","20"
"5166","15256","19"
"5167","15257","20"
"5169","15259","18"
"5172","15262","18"
"5173","15263","19"
"5176","15266","20"
"5177","15267","20"
"8927","26001","24"
"8927.1","26001","25"
"8928","26002","24"
"8929","26003","24"
"8929.1","26003","27"
"8930","26004","23"
"8930.1","26004","24"
"8931","26005","24"
"8931.1","26005","26"
"8932","26006","24"
"8932.1","26006","28"
"8933","26007","24"
"8933.1","26007","28"
"8934","26008","24"
"8934.1","26008","26"
"8935","26009","24"
"8936","26010","24"
"8937","26011","24"
"8937.1","26011","29"
"8938","26012","21"
"8938.1","26012","24"
"8938.2","26012","25"
"8939","26013","21"
"8939.1","26013","24"
"8940","26014","24"
"8940.1","26014","12"
"8941","26015","24"
"8941.1","26015","29"
"8942","26016","21"
"8942.1","26016","24"
"8943","26017","24"
"8943.1","26017","25"
"8944","26018","24"
"8945","26019","24"
"8945.1","26019","29"
"8946","26020","24"
"8946.1","26020","28"
"8947","26021","24"
"8947.1","26021","28"
"8948","26022","21"
"8948.1","26022","24"
"8949","26023","23"
"8949.1","26023","24"
"8950","26024","23"
"8950.1","26024","24"
"8951","26025","24"
"8951.1","26025","25"
"8952","26026","21"
"8952.1","26026","24"
"8953","26027","24"
"8953.1","26027","25"
"8954","26028","24"
"8954.1","26028","12"
"8955","26030","24"
"8955.1","26030","25"
"8956","26031","24"
"8956.1","26031","26"
"8957","26032","23"
"8957.1","26032","24"
"8958","26033","24"
"8958.1","26033","30"
"8959","26034","23"
"8959.1","26034","24"
"8960","26035","31"
"8960.1","26035","24"
"8960.2","26035","28"
"8961","26036","24"
"8961.1","26036","25"
"8962","26037","23"
"8962.1","26037","24"
"8963","26038","24"
"8963.1","26038","12"
"8964","26039","23"
"8964.1","26039","24"
"8965","26040","24"
"8965.1","26040","25"
"8966","26041","24"
"8967","26042","23"
"8967.1","26042","24"
"8968","26043","24"
"8969","26045","24"
"8969.1","26045","27"
"8970","26046","24"
"8971","26047","24"
"8971.1","26047","25"
"8972","26048","24"
"8973","26049","23"
"8973.1","26049","24"
"8974","26050","21"
"8974.1","26050","24"
"8975","26051","24"
"8975.1","26051","27"
"8976","26052","24"
"8976.1","26052","26"
"8977","26054","24"
"8977.1","26054","30"
"8978","26055","24"
"8978.1","26055","25"
"8979","26056","24"
"8979.1","26056","27"
"8980","26057","23"
"8980.1","26057","24"
"8981","26058","23"
"8981.1","26058","24"
"8982","26059","31"
"8982.1","26059","22"
"8982.2","26059","24"
"8983","26060","24"
"8983.1","26060","27"
"8984","26061","24"
"8984.1","26061","12"
"8985","26062","24"
"8985.1","26062","25"
"8986","26063","21"
"8986.1","26063","24"
"8987","26064","23"
"8987.1","26064","24"
"8988","26065","24"
"8988.1","26065","28"
"8989","26066","31"
"8989.1","26066","22"
"8989.2","26066","24"
"8990","26067","24"
"8990.1","26067","25"
"8991","26068","23"
"8991.1","26068","24"
"8992","26069","31"
"8992.1","26069","24"
"8992.2","26069","25"
"8993","26070","24"
"8994","26071","24"
"8994.1","26071","12"
"8995","26072","24"
"8995.1","26072","12"
"8996","26073","24"
"8997","26074","31"
"8997.1","26074","22"
"8997.2","26074","24"
"8998","26075","21"
"8998.1","26075","24"
"8999","26076","24"
"8999.1","26076","25"
"9000","26077","24"
"9000.1","26077","12"
"9001","26078","24"
"9001.1","26078","26"
"9002","26079","23"
"9002.1","26079","24"
"9003","26080","24"
"9003.1","26080","29"
"9004","26081","23"
"9004.1","26081","24"
"9005","26082","21"
"9005.1","26082","24"
"9006","26083","24"
"9007","26084","23"
"9007.1","26084","24"
"9008","26085","24"
"9008.1","26085","26"
"9009","26086","31"
"9009.1","26086","24"
"9009.2","26086","25"
"9010","26087","23"
"9010.1","26087","24"
"9011","26088","23"
"9011.1","26088","24"
"9012","26089","24"
"9013","26090","24"
"9013.1","26090","29"
"9014","26091","24"
"9015","26092","24"
"9015.1","26092","12"
"9016","26093","24"
"9016.1","26093","30"
"9017","26094","24"
"9018","26095","24"
"9018.1","26095","26"
"9019","26096","23"
"9019.1","26096","24"
"9020","26097","24"
"9020.1","26097","28"
"9021","26098","24"
"9021.1","26098","28"
"9022","26099","24"
"9023","26100","31"
"9023.1","26100","23"
"9023.2","26100","24"
"9024","26101","24"
"9024.1","26101","27"
"9025","26102","24"
"9025.1","26102","26"
"9026","26103","24"
"9027","26104","24"
"9028","26105","21"
"9028.1","26105","24"
"9029","26106","24"
"9029.1","26106","26"
"9030","26107","23"
"9030.1","26107","24"
"9031","26108","24"
"9031.1","26108","29"
"9032","26110","24"
"9032.1","26110","12"
"9033","26111","24"
"9033.1","26111","27"
"9034","26112","21"
"9034.1","26112","24"
"9035","26113","31"
"9035.1","26113","24"
"9035.2","26113","25"
"9036","26114","24"
"9036.1","26114","27"
"9037","26115","24"
"9037.1","26115","28"
"9038","26116","24"
"9038.1","26116","30"
"9039","26117","31"
"9039.1","26117","22"
"9039.2","26117","24"
"9040","26118","24"
"9041","26119","24"
"9041.1","26119","12"
"9042","26121","24"
"9042.1","26121","26"
"9043","26122","24"
"9043.1","26122","29"
"9044","26123","24"
"9044.1","26123","25"
"9045","26124","23"
"9045.1","26124","24"
"9046","26125","24"
"9046.1","26125","28"
"9047","26126","21"
"9047.1","26126","24"
"9048","26127","21"
"9048.1","26127","24"
"9049","26128","24"
"9049.1","26128","28"
"9050","26129","23"
"9050.1","26129","24"
"9051","26130","21"
"9051.1","26130","24"
"9052","26131","24"
"9052.1","26131","27"
"9053","26133","24"
"9054","26134","24"
"9054.1","26134","28"
"9055","26135","24"
"9056","26136","24"
"9056.1","26136","25"
"9057","26137","24"
"9057.1","26137","28"
"9058","26138","24"
"9058.1","26138","30"
"9059","26139","23"
"9059.1","26139","24"
"9060","26140","23"
"9060.1","26140","24"
"9061","26141","31"
"9061.1","26141","24"
"9061.2","26141","28"
"9062","26142","31"
"9062.1","26142","24"
"9062.2","26142","25"
"9063","26143","24"
"9064","26144","24"
"9064.1","26144","28"
"9065","26145","24"
"9065.1","26145","30"
"9066","26146","24"
"9067","26147","24"
"9067.1","26147","25"
"9068","26148","24"
"9069","26149","23"
"9069.1","26149","24"
"9070","26150","24"
"9071","26152","24"
"9071.1","26152","25"
"9072","26153","21"
"9072.1","26153","24"
"9073","26154","21"
"9073.1","26154","24"
"9074","26155","24"
"9075","26156","24"
"9075.1","26156","12"
"9076","26157","24"
"9076.1","26157","26"
"9077","26159","31"
"9077.1","26159","24"
"9077.2","26159","25"
"9078","26160","24"
"9079","26161","21"
"9079.1","26161","24"
"9080","26162","24"
"9081","26163","31"
"9081.1","26163","22"
"9081.2","26163","24"
"9082","26164","24"
"9082.1","26164","25"
"9083","26165","24"
"9083.1","26165","28"
"9084","26166","24"
"9084.1","26166","28"
"9085","26167","24"
"9085.1","26167","25"
"9086","26168","31"
"9086.1","26168","24"
"9086.2","26168","25"
"9087","26169","24"
"9087.1","26169","30"
"9088","26170","23"
"9088.1","26170","24"
"9089","26171","24"
"9089.1","26171","26"
"9090","26172","24"
"9091","26173","23"
"9091.1","26173","24"
"9092","26174","24"
"9092.1","26174","12"
"9093","26175","31"
"9093.1","26175","24"
"9093.2","26175","25"
"9094","26176","24"
"9094.1","26176","26"
"9095","26177","24"
"9095.1","26177","12"
"9096","26178","24"
"9096.1","26178","25"
"9097","26179","24"
"9097.1","26179","12"
"9098","26180","24"
"9099","26181","24"
"9100","26182","21"
"9100.1","26182","24"
"9101","26183","24"
"9101.1","26183","29"
"9102","26185","24"
"9102.1","26185","28"
"9103","26186","24"
"9103.1","26186","25"
"9104","26188","21"
"9104.1","26188","24"
"9105","26189","21"
"9105.1","26189","24"
"9106","26190","21"
"9106.1","26190","24"
"9107","26191","24"
"9107.1","26191","26"
"9108","26192","24"
"9109","26193","21"
"9109.1","26193","24"
"9110","26194","24"
"9110.1","26194","12"
"9111","26195","24"
"9111.1","26195","28"
"9112","26196","23"
"9112.1","26196","24"
"9113","26197","23"
"9113.1","26197","24"
"9114","26198","24"
"9114.1","26198","26"
"9115","26199","21"
"9115.1","26199","24"
"9116","26200","21"
"9116.1","26200","24"
"9117","26201","21"
"9117.1","26201","24"
"9118","26202","21"
"9118.1","26202","24"
"9118.2","26202","27"
"9119","26203","24"
"9120","26204","24"
"9120.1","26204","25"
"9121","26205","24"
"9121.1","26205","25"
"9122","26206","23"
"9122.1","26206","24"
"9123","26207","23"
"9123.1","26207","24"
"9124","26208","24"
"9124.1","26208","28"
"9125","26209","21"
"9125.1","26209","24"
"9126","26210","23"
"9126.1","26210","24"
